SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Forecast_Appointments,GP_Appointments,Required_GP_FTE,Required_Staff_FTE,Total_FTE
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2026-07,109706.12008402405,50758.36672279674,96.6826032815176,93.5678624781386,190.2504657596562
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2026-08,95707.36850495693,44281.483156342976,84.34568220255805,81.62838944224438,165.97407164480245
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2026-09,105365.54326758343,48750.086877801594,92.8573083386697,89.86580379330451,182.7231121319742
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2026-10,123385.2455766847,57087.3670344643,108.7378419704082,105.2347278447943,213.97256981520252
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2026-11,110176.64355802954,50976.066546899194,97.09726961314132,93.96916985893706,191.0664394720784
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2026-12,97474.17602115321,45098.94223489756,85.90274711409059,83.13529172421534,169.0380388383059
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2027-01,114160.03952272101,52819.087456061425,100.60778563059318,97.36659058199935,197.97437621259252
03L,NHS South Yorkshire ICB - 03L,E54000061,E40000012,North East and Yorkshire,2026-02,145818.8298024269,67466.84353189985,128.50827339409497,124.36823217543974,252.87650556953471
03L,NHS South Yorkshire ICB - 03L,E54000061,E40000012,North East and Yorkshire,2026-03,150766.65228323714,69756.08124961254,132.86872618973817,128.58820798988035,261.45693417961854
03L,NHS South Yorkshire ICB - 03L,E54000061,E40000012,North East and Yorkshire,2026-04,144382.581909711,66802.32639112884,127.24252645929302,123.14326272790821,250.38578918720123
03L,NHS South Yorkshire ICB - 03L,E54000061,E40000012,North East and Yorkshire,2026-05,145957.99403484244,67531.23145427133,128.6309170557549,124.48692473106529,253.11784178682018
03L,NHS South Yorkshire ICB - 03L,E54000061,E40000012,North East and Yorkshire,2026-06,143578.90634518611,66430.48515748516,126.53425744282889,122.45781140904913,248.992068851878
03L,NHS South Yorkshire ICB - 03L,E54000061,E40000012,North East and Yorkshire,2026-07,159308.70957976367,73708.28443109553,140.39673224970576,135.87369071217165,276.27042296187744
