ICB_CODE,Month,GP_Appointments,Required_GP_FTE,Num_Sub_ICBs
E54000055,2026-11,362648.66782910004,690.7593672935238,1
E54000055,2026-12,330239.9177213818,629.028414707394,1
E54000055,2027-01,376876.16115766077,717.8593545860205,1
E54000058,2026-02,240918.23604157727,458.8918781744329,1
E54000058,2026-03,243887.3774357419,464.54738559188934,1
E54000058,2026-04,239612.00847380055,456.403825664382,1
E54000058,2026-05,239346.98136657837,455.89901212681593,1
E54000058,2026-06,237304.69447762222,452.0089418621376,1
E54000058,2026-07,259486.94600913752,494.2608495412143,1
E54000058,2026-08,226793.89988423305,431.9883807318725,1
E54000058,2026-09,252415.34051848215,480.79112479710886,1
E54000058,2026-10,308694.688359295,587.9898825891333,1
E54000058,2026-11,252729.40970001524,481.38935180955286,1
E54000058,2026-12,229522.75782559603,437.1862053820877,1
E54000058,2027-01,264694.76725862635,504.18050906405017,1
E54000059,2026-02,185848.42004718044,353.99699056605795,1
E54000059,2026-03,190179.21355344495,362.24612105418083,1
E54000059,2026-04,185541.38808430496,353.4121677796285,1
E54000059,2026-05,186392.14485859958,355.032656873523,1
E54000059,2026-06,184545.94351799446,351.516082891418,1
E54000059,2026-07,204048.4925328257,388.6637953006204,1
E54000059,2026-08,178451.02710338015,339.9067182921527,1
E54000059,2026-09,198489.0492381257,378.0743795011918,1
E54000059,2026-10,241484.71621956403,459.9708880372648,1
E54000059,2026-11,199387.21596872626,379.7851732737643,1
E54000059,2026-12,182460.58553671913,347.5439724508936,1
E54000059,2027-01,210148.1769237589,400.2822417595408,1
E54000060,2026-02,284145.7518616568,541.230003546013,2
E54000060,2026-03,285080.6993233621,543.010855854023,2
E54000060,2026-04,280127.1820516738,533.575584860331,2
E54000060,2026-05,280669.2185873671,534.6080354045088,2
E54000060,2026-06,278417.6385171388,530.3193114612168,2
E54000060,2026-07,306534.99385769095,583.8761787765542,2
E54000060,2026-08,267678.3517538997,509.86352715028517,2
E54000060,2026-09,305601.25044047413,582.0976198866175,2
E54000060,2026-10,363543.5804590552,692.4639627791528,2
E54000060,2026-11,304982.8209475493,580.919658947713,2
E54000060,2026-12,283217.97366877605,539.4628069881448,2
E54000060,2027-01,320405.69898978435,610.296569504351,2
E54000061,2026-02,350371.26734102145,667.3738425543265,4
E54000061,2026-03,354198.04734075686,674.6629473157275,4
